timestamp,steps
2025-02-01T00:03:00Z,19
2025-02-01T00:04:00Z,107
2025-02-01T00:05:00Z,68
2025-02-01T00:27:00Z,42
2025-02-01T00:28:00Z,107
2025-02-01T00:29:00Z,108
2025-02-01T00:30:00Z,35
2025-02-01T00:31:00Z,12
2025-02-01T00:39:00Z,8
2025-02-01T00:40:00Z,101
2025-02-01T00:42:00Z,47
2025-02-01T00:43:00Z,4
2025-02-01T00:44:00Z,7
2025-02-01T00:45:00Z,104
2025-02-01T00:46:00Z,28
2025-02-01T00:47:00Z,39
2025-02-01T00:48:00Z,105
2025-02-01T00:49:00Z,101
2025-02-01T00:51:00Z,103
2025-02-01T00:52:00Z,103
2025-02-01T00:53:00Z,23
2025-02-01T00:55:00Z,16
2025-02-01T00:56:00Z,7
2025-02-01T00:58:00Z,9
2025-02-01T00:59:00Z,28
2025-02-01T01:00:00Z,8
2025-02-01T01:02:00Z,34
2025-02-01T01:03:00Z,25
2025-02-01T01:04:00Z,103
2025-02-01T01:05:00Z,43
2025-02-01T01:06:00Z,71
2025-02-01T01:07:00Z,1
2025-02-01T01:14:00Z,19
2025-02-01T01:16:00Z,16
2025-02-01T01:17:00Z,24
2025-02-01T01:22:00Z,6
2025-02-01T02:12:00Z,8
2025-02-01T02:29:00Z,44
2025-02-01T02:30:00Z,29
2025-02-01T02:32:00Z,80
2025-02-01T02:33:00Z,77
2025-02-01T02:34:00Z,42
2025-02-01T02:35:00Z,20
2025-02-01T02:36:00Z,2
2025-02-01T02:43:00Z,24
2025-02-01T02:44:00Z,27
2025-02-01T02:51:00Z,7
2025-02-01T03:01:00Z,6
2025-02-01T03:07:00Z,10
2025-02-01T03:13:00Z,47
2025-02-01T03:14:00Z,25
2025-02-01T03:15:00Z,32
2025-02-01T03:16:00Z,22
2025-02-01T03:17:00Z,38
2025-02-01T03:18:00Z,6
2025-02-01T03:19:00Z,90
2025-02-01T03:20:00Z,101
2025-02-01T03:21:00Z,66
2025-02-01T03:22:00Z,20
2025-02-01T03:23:00Z,14
2025-02-01T03:25:00Z,10
2025-02-01T03:26:00Z,37
2025-02-01T03:27:00Z,49
2025-02-01T03:28:00Z,19
2025-02-01T03:29:00Z,15
2025-02-01T03:30:00Z,37
2025-02-01T03:31:00Z,39
2025-02-01T03:32:00Z,1
2025-02-01T03:33:00Z,28
2025-02-01T03:34:00Z,29
2025-02-01T03:35:00Z,31
2025-02-01T03:39:00Z,29
2025-02-01T03:40:00Z,104
2025-02-01T03:41:00Z,37
2025-02-01T03:42:00Z,40
2025-02-01T03:43:00Z,34
2025-02-01T03:44:00Z,42
2025-02-01T03:45:00Z,16
2025-02-01T03:46:00Z,7
2025-02-01T03:47:00Z,24
2025-02-01T03:48:00Z,35
2025-02-01T03:50:00Z,9
2025-02-01T03:51:00Z,28
2025-02-01T03:52:00Z,9
2025-02-01T03:53:00Z,33
2025-02-01T03:54:00Z,47
2025-02-01T03:55:00Z,20
2025-02-01T03:57:00Z,18
2025-02-01T03:58:00Z,22
2025-02-01T03:59:00Z,23
2025-02-01T04:00:00Z,18
2025-02-01T04:01:00Z,37
2025-02-01T04:02:00Z,25
2025-02-01T04:04:00Z,7
2025-02-01T04:05:00Z,63
2025-02-01T04:06:00Z,87
2025-02-01T04:07:00Z,27
2025-02-01T04:08:00Z,41
2025-02-01T04:09:00Z,35
2025-02-01T04:15:00Z,22
2025-02-01T04:16:00Z,47
2025-02-01T04:17:00Z,67
2025-02-01T04:18:00Z,19
2025-02-01T04:19:00Z,58
2025-02-01T04:20:00Z,38
2025-02-01T04:22:00Z,33
2025-02-01T04:23:00Z,17
2025-02-01T04:24:00Z,8
2025-02-01T04:26:00Z,40
2025-02-01T04:27:00Z,12
2025-02-01T04:30:00Z,81
2025-02-01T04:31:00Z,13
2025-02-01T04:32:00Z,12
2025-02-01T04:37:00Z,38
2025-02-01T04:46:00Z,6
2025-02-01T04:47:00Z,83
2025-02-01T04:48:00Z,75
2025-02-01T04:49:00Z,74
2025-02-01T04:50:00Z,51
2025-02-01T04:51:00Z,19
2025-02-01T04:52:00Z,36
2025-02-01T04:53:00Z,14
2025-02-01T04:54:00Z,18
2025-02-01T04:55:00Z,30
2025-02-01T04:56:00Z,55
2025-02-01T04:57:00Z,46
2025-02-01T04:58:00Z,25
2025-02-01T04:59:00Z,16
2025-02-01T05:00:00Z,24
2025-02-01T05:01:00Z,5
2025-02-01T05:02:00Z,26
2025-02-01T05:03:00Z,57
2025-02-01T05:04:00Z,13
2025-02-01T05:07:00Z,15
2025-02-01T05:08:00Z,12
2025-02-01T05:09:00Z,14
2025-02-01T05:10:00Z,19
2025-02-01T05:11:00Z,7
2025-02-01T05:12:00Z,11
2025-02-01T05:13:00Z,8
2025-02-01T05:14:00Z,15
2025-02-01T05:16:00Z,32
2025-02-01T05:19:00Z,44
2025-02-01T05:20:00Z,54
2025-02-01T05:21:00Z,13
2025-02-01T05:22:00Z,17
2025-02-01T05:23:00Z,19
2025-02-01T05:26:00Z,12
2025-02-01T05:27:00Z,31
2025-02-01T05:28:00Z,36
2025-02-01T05:29:00Z,9
2025-02-01T05:32:00Z,37
2025-02-01T05:33:00Z,29
2025-02-01T05:37:00Z,5
2025-02-01T05:38:00Z,26
2025-02-01T05:43:00Z,16
2025-02-01T05:44:00Z,31
2025-02-01T05:45:00Z,14
2025-02-01T05:46:00Z,35
2025-02-01T05:47:00Z,14
2025-02-01T05:48:00Z,23
2025-02-01T05:50:00Z,23
2025-02-01T05:55:00Z,10
2025-02-01T05:56:00Z,25
2025-02-01T05:57:00Z,53
2025-02-01T05:58:00Z,54
2025-02-01T05:59:00Z,55
2025-02-01T06:00:00Z,16
2025-02-01T06:01:00Z,19
2025-02-01T06:05:00Z,13
2025-02-01T06:06:00Z,78
2025-02-01T06:07:00Z,63
2025-02-01T06:08:00Z,55
2025-02-01T06:09:00Z,24
2025-02-01T06:12:00Z,8
2025-02-01T06:13:00Z,89
2025-02-01T06:14:00Z,113
2025-02-01T06:15:00Z,94
2025-02-01T06:16:00Z,3
2025-02-01T06:17:00Z,31
2025-02-01T06:18:00Z,59
2025-02-01T06:19:00Z,15
2025-02-01T06:21:00Z,5
2025-02-01T06:22:00Z,12
2025-02-01T06:24:00Z,67
2025-02-01T06:25:00Z,56
2025-02-01T06:26:00Z,30
2025-02-01T06:27:00Z,23
2025-02-01T06:28:00Z,26
2025-02-01T06:29:00Z,92
2025-02-01T06:30:00Z,38
2025-02-01T06:31:00Z,25
2025-02-01T06:32:00Z,45
2025-02-01T06:33:00Z,53
2025-02-01T06:34:00Z,18
2025-02-01T06:35:00Z,38
2025-02-01T06:36:00Z,6
2025-02-01T06:37:00Z,21
2025-02-01T06:38:00Z,91
2025-02-01T06:39:00Z,91
2025-02-01T06:40:00Z,90
2025-02-01T06:41:00Z,28
2025-02-01T06:42:00Z,20
2025-02-01T06:43:00Z,7
2025-02-01T06:44:00Z,84
2025-02-01T06:45:00Z,103
2025-02-01T06:46:00Z,68
2025-02-01T06:47:00Z,82
2025-02-01T06:48:00Z,78
2025-02-01T06:49:00Z,94
2025-02-01T06:50:00Z,105
2025-02-01T06:51:00Z,97
2025-02-01T06:52:00Z,70
2025-02-01T06:53:00Z,72
2025-02-01T06:54:00Z,80
2025-02-01T06:55:00Z,73
2025-02-01T06:56:00Z,72
2025-02-01T06:57:00Z,112
2025-02-01T06:58:00Z,92
2025-02-01T06:59:00Z,45
2025-02-01T07:00:00Z,63
2025-02-01T07:01:00Z,56
2025-02-01T07:02:00Z,45
2025-02-01T07:03:00Z,35
2025-02-01T07:04:00Z,68
2025-02-01T07:05:00Z,30
2025-02-01T07:06:00Z,10
2025-02-01T07:10:00Z,27
2025-02-01T07:11:00Z,67
2025-02-01T07:12:00Z,71
2025-02-01T07:13:00Z,70
2025-02-01T07:14:00Z,68
2025-02-01T07:15:00Z,108
2025-02-01T07:16:00Z,103
2025-02-01T07:17:00Z,62
2025-02-01T07:18:00Z,46
2025-02-01T07:19:00Z,73
2025-02-01T07:20:00Z,105
2025-02-01T07:21:00Z,80
2025-02-01T07:22:00Z,75
2025-02-01T07:23:00Z,43
2025-02-01T07:24:00Z,9
2025-02-01T07:25:00Z,18
2025-02-01T07:26:00Z,97
2025-02-01T07:27:00Z,100
2025-02-01T07:28:00Z,31
2025-02-01T07:29:00Z,76
2025-02-01T07:30:00Z,53
2025-02-01T07:31:00Z,24
2025-02-01T07:32:00Z,5
2025-02-01T07:33:00Z,40
2025-02-01T07:34:00Z,54
2025-02-01T07:35:00Z,35
2025-02-01T07:36:00Z,72
2025-02-01T07:37:00Z,51
2025-02-01T07:38:00Z,50
2025-02-01T07:39:00Z,47
2025-02-01T07:40:00Z,59
2025-02-01T07:41:00Z,15
2025-02-01T07:42:00Z,57
2025-02-01T07:43:00Z,13
2025-02-01T07:44:00Z,58
2025-02-01T07:45:00Z,9
2025-02-01T07:51:00Z,10
2025-02-01T07:52:00Z,23
2025-02-01T07:53:00Z,50
2025-02-01T07:54:00Z,71
2025-02-01T07:55:00Z,76
2025-02-01T07:56:00Z,16
2025-02-01T07:59:00Z,20
2025-02-01T08:01:00Z,55
2025-02-01T08:02:00Z,75
2025-02-01T08:03:00Z,93
2025-02-01T08:04:00Z,94
2025-02-01T08:05:00Z,83
2025-02-01T08:06:00Z,96
2025-02-01T08:07:00Z,97
2025-02-01T08:08:00Z,65
2025-02-01T08:09:00Z,91
2025-02-01T08:10:00Z,94
2025-02-01T08:11:00Z,91
2025-02-01T08:12:00Z,73
2025-02-01T08:13:00Z,62
2025-02-01T08:14:00Z,22
2025-02-01T08:15:00Z,22
2025-02-01T08:16:00Z,12
2025-02-01T08:17:00Z,15
2025-02-01T08:18:00Z,31
2025-02-01T08:19:00Z,21
2025-02-01T08:20:00Z,28
2025-02-01T08:21:00Z,10
2025-02-01T08:22:00Z,32
2025-02-01T08:23:00Z,95
2025-02-01T08:24:00Z,77
2025-02-01T08:25:00Z,37
2025-02-01T08:26:00Z,22
2025-02-01T08:27:00Z,46
2025-02-01T08:28:00Z,8
2025-02-01T08:29:00Z,12
2025-02-01T08:30:00Z,20
2025-02-01T08:31:00Z,49
2025-02-01T08:32:00Z,20
2025-02-01T08:33:00Z,18
2025-02-01T08:34:00Z,16
2025-02-01T08:35:00Z,13
2025-02-01T08:36:00Z,37
2025-02-01T08:37:00Z,17
2025-02-01T08:38:00Z,16
2025-02-01T08:39:00Z,25
2025-02-01T08:40:00Z,18
2025-02-01T08:41:00Z,2
2025-02-01T08:48:00Z,10
2025-02-01T08:49:00Z,9
2025-02-01T09:00:00Z,21
2025-02-01T09:01:00Z,20
2025-02-01T09:02:00Z,34
2025-02-01T09:03:00Z,29
2025-02-01T09:04:00Z,17
2025-02-01T09:05:00Z,34
2025-02-01T09:06:00Z,85
2025-02-01T09:07:00Z,71
2025-02-01T09:08:00Z,46
2025-02-01T09:09:00Z,32
2025-02-01T09:10:00Z,52
2025-02-01T09:11:00Z,21
2025-02-01T09:12:00Z,56
2025-02-01T09:13:00Z,62
2025-02-01T09:14:00Z,47
2025-02-01T09:15:00Z,51
2025-02-01T09:16:00Z,83
2025-02-01T09:17:00Z,33
2025-02-01T09:20:00Z,34
2025-02-01T09:25:00Z,8
2025-02-01T09:26:00Z,15
2025-02-01T09:29:00Z,7
2025-02-01T09:31:00Z,14
2025-02-01T09:32:00Z,33
